X1,X2,Y
90,50,1
80,15,1
88,55,0
78,7,1
3,80,0
35,66,1
75,47,0
85,6,0
9,95,0
89,58,0
34,101,1
75,6,1
34,53,1
17,67,1
99,44,0
6,69,0
54,61,1
78,43,1
81,29,1
23,64,0
55,57,0
87,56,1
56,78,1
76,90,0
3,34,1
25,12,1
64,56,0
51,78,0
94,94,0
82,26,0
4,45,1
63,63,1
40,53,1
38,24,1
12,98,0
22,25,0
87,40,0
37,84,0
10,68,1
84,64,0
7,31,1
32,52,1
83,80,0
75,50,0
80,75,0
36,51,1
29,38,1
30,38,1
88,6,0
10,52,1
15,31,1
42,40,1
92,24,0
20,53,1
7,54,1
2,45,1
11,32,1
73,62,0
65,45,0
41,24,1
17,49,1
90,4,0
75,45,0
40,37,1
29,41,1
64,60,0
83,75,0
99,44,0
96,29,0
22,32,1
72,80,0
39,54,1
34,1,1
89,33,0
71,50,0
10,44,1
68,52,0
42,40,1
73,37,0
87,66,0
39,94,1
5,82,1
12,17,1
74,21,0
95,12,0
4,25,1
17,84,1
16,56,1
91,25,0
33,91,1
1,84,1
75,33,0
83,77,0
82,85,0
19,17,1
28,20,1
80,85,0
75,23,0
20,16,1
